식별,,,분류,,보험 기간,가입조건,,,,,검수,,
★ product_id,★ product_name,★ insurer,★ category,situation_tags,★ coverage_period_days,★ age_min,★ age_max,gender,description,★ product_url,★ is_mini_insurance,notes,★ collector
▶ 예시,덕밍아웃보험,롯데손해보험,이색·일상,"콘서트,페스티벌,공연,팬미팅",1,19,69,all,"보험에 대한 줄글 설명 (보험 공식 페이지에 나와있는 문구 넣어주세요)
(홈페이지에 나와있는 킥보드가 부딪혔다, ⇒ 홈페이지에서 설명해주는 상황들)",https://alice.lotteins.co.kr/product/fandom/main,Y,,홍길동
,캐롯 해외장기체류보험,캐롯손해보험,여행,3개월 이상의 장기여행,365,19,59,all,"단기 어학 연수, 유학 갈 때, 해외 국내 치료 모두 특약 지원, 구조 필요한 상황 대비",https://www.carrotins.com/product/overseas-long/,,,
1,캐롯 해외여행보험,캐롯손해보험,여행,해외여행,90,19,79,all,"이동 중 파손, 여행 중 사고, 귀국 후 의료비까지 보장, 여행 중 휴대품 손해 (분실 제외), 항공기 및 수하물 지연 비용, 캐롯 굿트래블 서비(내 여행 자동 관리, 여행 준비물 체크, 여행 스토리 기록, 여행 시 사용가능한 쿠폰 제공)",https://www.carrotins.com/product/overseas/?NaPm=ct%3Dmoyg96k5%7Cci%3DERd0302b24-4bb4-11f1-8a43-7e3f3da9ee4d%7Ctr%3Dbrnd%7Chk%3Ded8f7f7774410abc6aef971bed3538315a4b4520%7Cnacn%3D2gJLB0QhHixk&afcDtFlgcd=PC_%ED%99%88%EB%A7%81%ED%81%AC_%ED%9A%8C%EC%82%AC%EB%AA%85_5%EA%B5%AC_0205_%EC%9D%BC%EB%9F%AC%EC%8A%A4%ED%8A%B8&afcDtcd=NAVER_BS_PC_CORP&afccd=PA00832&main=y&utm_campaign=general&utm_content=homelink_corp_PC_260205_5tap_illust&utm_medium=search_brand&utm_source=naver_corp_PC,,,
2,캐롯 투게더 홀인원 보험,캐롯손해보험,레저·스포츠,"골프, 동반가입",30,19,80,all,"골프 경기 중 홀인원 했을 때, 함께 라운딩하는 동반 플레이어들까지 한번 가입으로 모두 보장, 홀인원 축하 기념품 구입도 보장, 보험 선물하기 가능",https://www.carrotins.com/product/holeinone/intro/,,,
3,캐롯 행사배상 책임보험,캐롯손해보험,날씨·이벤트,행사,60,,,all,"행사 중 혹시 모를 사고 보장, 행사 중 발생한 사고로 행사 참여자가 신체 장해 입으면 특약으로 치료비 보장, 공연행사, 체육활동, 수상활동, 불꽃놀이 등 다양한 행사 보장, 내일 행사라도 바로 가입 가능, 법인 사업자는 가입 불가",https://www.carrotins.com/product/event/intro/,,,
4,캐롯 자동차보험 퍼아워,캐롯손해보험,교통·이동,"자동차, 필요한 시간만큼",365,21,65,all,"필요한 순간, 원하는 시간에. 다른 사람의 자동차를 운전할 때, 렌터카를 운전할 때 (특약),  타인을 다치게 한 경우 손해를 무한으로 보장 받아요. 운전하던 자동차 파손 보장, 법률 비용 발생 보장",https://www.carrotins.com/mobile/calculation/car/perhour/intro/,,,
,해외장기체류보험,카카오페이손해보험,여행,3개월이상 장기여행,365,,,all,"체류하는 현지에서 병원 이용 시 모바일로 쉽고 간편하게 접수해 보세요. 해외 체류 중에도, 재가입이 무제한 가능해요! 보험 종료일 이후 30일 이내라면 보장 축소 없이 유사한 조건으로 재가입 할 수 있어요. 장기 체류 중 다쳤을 때, 질병에 걸렸을 때, 사고로 장애가 생겼거나 이송이 필요할 때, 식중독, 전염병, 귀국 후 치료",https://kakaopayinscorp.co.kr/products/FAA006,,,
5,해외여행보험,카카오페이손해보험,여행,해외여행,90,,,all,"짧은 여행도 긴 여행도 필요한 만큼 함께해요. 다쳐서 병원 방문, 아파서 병원 방문, 소지품 파손/도난, 큰 사고 발생, 비행기 출발 늦어짐, 남에게 피해줌. 식중독, 전염병, 귀국해서 병원 방문 등. 간편하게 카카오톡으로 친구들과
함께 가입하고 최대 10% 할인 받아보세요.",https://kakaopayinscorp.co.kr/products/FAA001,,,
6,전월세보험/직거래전월세보험,카카오페이손해보험,이색·일상,"전월세, 이사 관련","1,095",,,all,"전월세 사기계약 대비, 가짜 집주인과 계약, 전입신고 당일 근저당 설정, 다른 세입자와 이중 계약, 월세집의 전세집으로 둔갑 등. 등기부등본에 변동이 생기면
알림톡으로 알려드려요. 우리집을 분석해 리포트로 알려드려요. HUG반환보증보험과 차이가 있음.",https://kakaopayinscorp.co.kr/products/FAT001,,,
7,운전자보험,카카오페이손해보험,교통·이동,"운전자보험, 차 없어도 가능","1,095",19,70,all,"운전자보험은 운전자인 '나'를 지키기 위해 사망·중상해, 12대 중과실 사고를 보장받아요. 단, 무면허·음주·약물 운전은 제외돼요.",https://kakaopayinscorp.co.kr/products/FAA005,,,
9,골프보험,카카오페이손해보험,레저·스포츠,"골프, 홀인원, 동반가입",1,,,,"홀인원 계획이 없다면 골프 부상과 골프장 사고 보장으로 실속있게 선택하고, 홀인원이 자신 있다면홀인원 보장 금액(특약)을 넉넉히 추가해보세요.내가 원하는 만큼 홀인원 비용을 보장받아요. 허리, 손목 등 골프 부상 치료비와 남에게 피해를
줬을 때 원하는 특약을 선택해 보장받아요. 간편하게 카카오톡으로 친구들과
함께 가입하고 최대 10% 할인 받아보세요",https://kakaopayinscorp.co.kr/products/FAA007,,,
10,금융안심보험,카카오페이손해보험,이색·일상,"보이스피싱, 온라인 직거래",365,19,79,all,"피싱, 스미싱, 온라인 직거래 사기까지 보상되니까 전화도, 문자도, 중고 거래도 마음 놓고 하세요. 온라인 직거래 사기는 특약 선택 시 보장. 여럿이 함께하면 할수록
더 내려가는 보험료.",https://kakaopayinscorp.co.kr/products/FAO001,,,
11,수도권지하철지연보험,삼성화재,교통·이동,"지하철,지하철지연,대중교통,출퇴근,수도권",365,,,all,"수도권지하철이 30분 이상 지연되면 택시, 버스 등 대체 교통비를 보장.
수도권지하철 노선 : 수도권(서울특별시, 인천광역시 및 경기도) 내에서 운영중인 도시철도, 광역철도 노선을 말합니다. 대상 노선으로는 1호선 내지 9호선, 신분당선, 수인분당선, 경의중앙선, 경춘선, 경강선, 서해선, 공항철도, GTX-A, 인천1호선, 인천2호선, 에버라인, 김포골드라인, 의정부선, 우이신설선, 신림선을 말하며 이와 유사한 노선을 포함합니다.
지하철 하차 이후 2시간 이내 결제 건에 한해 보장합니다.",https://direct.samsungfire.com/m/mall/MP030314_001.html,Y,,
12,글로벌케어보험,삼성화재,여행,"해외체류,유학,어학연수,장기출장,해외거주",최대보장기간 적어두기,0,110,all,"일상적인 감기 치료와 시급한 응급실 치료도 보장. 해외의료비 부담을 덜어드려요.
갑작스러운 사고·질병에도 응급이송·구조·송환 비용을 보장해요.
해외 생활 중 작은 불편까지 케어, 휴대품 손해(분실은 보장 안 함), 항공기 지연, 감염병 진단 등 일상 생활 속 사고도 보장해요.
항공기, 선박, 차량 등을 사용하다 발생한 손해는 보상하지 않습니다.",https://direct.samsungfire.com/m/mall/MP030702_001.html,,,
13,해외여행보험,삼성화재,여행,"해외여행,해외출장,배낭여행,패키지여행",,0,110,all,"여행 중 갑작스러운 상황에도 병원 진료비와 휴대품 손해(분실제외) 등 여행 중 돌발 사고를 보장해요.
국내·해외 출발 항공기 지연 발생 시 보장해요. (입력한 항공편이 2시간 이상 지연되는 경우 적용됩니다. 항공편 지연을 보장하는 특약명은 항공기 지연·결항 보상(지수형)(국내 출국), 항공기 지연·결항 보상(지수형)(국내 출국 제외) 특별약관입니다. 환승 전용 내항기 및 이와 유사한 성격의 국내선은 제외합니다.)
",https://direct.samsungfire.com/m/mall/MP030701_001.html,,,
14,국내여행보험,삼성화재,여행,"국내여행,국내출장,제주도여행,캠핑,등산",,0,69,all,"가족캠핑, 소도시 여행, 한달 살기, 수련회, 여행에서의 치료비, 의료비(질병, 상해) 보장",https://direct.samsungfire.com/m/mall/MP030703_001.html,,,
